Alexander           Hugo           31 Buckley Ln       Halton Hills   Ont L5G8V4
Pettit              John           498 Midland Ave     Toronto        Ont M2S1C7
Pozon               Al             16 Sunny Crest Dr   North York     Ont M9R2S7
Pryor               John           6 Henry St          Toronto        Ont M5S1A8
Rantucci            Horace         1 Rabbit Ln         Guelph         Ont N1G7T4
Rosan               Mario          49 Lavender Rd      Thornhill      Ont M1D5K6
Rotman              Manfred        189 Locksley St     Etobicoke      Ont M7S2K6
Sakai               Yoshi          50 Elmwood Rd       Toronto        Ont M8Z7W2
Samuels             Darrell        8 Teak Wood Dr      Toronto        Ont M8G5P9
Scott               Kim            586 Delta Ct        Oshawa         Ont K8T2R8
Sinclair            Leslie         64 Antioch Dr       Scarborough    Ont M9R7L2
Springsteen         Jake           91 Rosalita St      Vancouver      BC  W4R3Y1
Stassen             Nick           125 Mulock Ave      Toronto        Ont M2F5J7
Tang                Yin Ming       114 Wintermute St   Toronto        Ont M5S1T6
Tello               Cindy          124 Glendora Ave    Scarborough    Ont M3F5H7
Thomas              Wendy          8 Kipp's Ln         London         Ont O3T2G6
Townsend            George         291 Pendermere Pkwy Scarborough    Ont M1C2S9
Trudeau             Gary           6 Doonvalley Dr     Mississauga    Ont M8R4V2
Vass                Toni           9 Foxwell Ave       East York      Ont M4G2L9
Wallis              Samuel         2311 Glen Rd        Toronto        Ont M5L9R8
Walshe              Peter          22 Blackfriar Ct    Mississauga    Ont L9T4K6
Warner              Raymond        22 Blackwater Cr    Etobicoke      Ont M7T2K6
Wheeler             Thomas         71 Silverbirch Rd   Toronto        Ont N4F3B2
Whitehead           Bertie         3995 Yonge St       North York     Ont M7Y5F4
Williams            David          34 Ling Ave         Scarborough    Ont M2C1P3
Wong                Calvin         38 Bridletown Cl    Scarborough    Ont M9I8Y4
Worboys             Anne           97 Eglinton Ave E   Toronto        Ont M4T6Z7
Yoyos               Walid          21 Derrydown Ave    Thornhill      Ont M2T5K6
Zdansky             Barbara        47 Berkeley St      Toronto        Ont N6T6E2
